CPU_Usage(%),GPU_Usage(%),Power_Consumption(kWh),AI_Model_Efficiency_Score,Processing_Time(ms)
15,33,4.614064321781615,69,219.472868674812
63,12,4.161948297438139,90,111.04652849122854
13,9,0.9901325383102915,95,401.862194342782
63,33,1.1704633518658762,61,173.46732662423116
72,51,2.869807087710318,55,433.94474022492744
27,72,1.6073134645909921,66,458.47602060973327
99,80,2.6451296376852165,68,431.3136793417252
53,49,2.274643957182576,75,27.153878255334767
43,6,2.97236407293704,97,395.81293905250175
83,31,3.8609407226112022,93,211.5563385845805
71,40,3.719709081946735,93,438.1242308892903
23,40,2.8455535961840046,81,322.59758871552197
57,30,4.200770384676762,55,418.48513573053964
24,47,2.43887941192115,85,254.72156723474933
81,31,4.535214304280551,87,272.1624972534771
87,73,0.8207612152482375,60,80.74993974549695
96,24,4.795970135149884,82,394.15380575778414
71,15,3.4461188664410667,73,215.5009097168161
49,78,2.210335290217424,72,255.0392579530755
94,42,1.387193569577948,64,394.69787990689673
89,10,2.6563245324961997,76,303.4342460389251
91,76,1.3755124543338544,60,108.53837644690704
62,27,1.2484922348441396,99,299.21400298393746
33,51,3.278082908358384,66,209.74010041003132
35,94,2.853881260618031,63,240.0675156014927
98,50,3.5154321557492376,76,23.872524457307215
69,16,4.683226448398951,67,112.91438126297798
50,94,2.8951709600256805,77,147.70865987670385
38,17,3.1141942396825897,96,359.3504038508148
24,66,0.9033185261972395,96,15.631311916076504
54,86,3.729361036588833,53,210.3008580022747
74,93,2.299573430618703,56,462.7731665086091
98,64,4.895263573981605,94,64.82150210907068
80,47,4.204283070180471,84,263.0479502271194
18,80,2.8511646823225325,97,395.39596737151504
97,72,1.0545019437747472,58,471.8403406848572
10,9,4.367371069762651,57,375.9205533715218
17,41,4.0990149294080975,94,363.077118835759
97,76,1.3306330829166484,66,414.9791641959236
72,35,1.8287523014913953,66,228.6385982789964
20,13,4.070332661665268,98,404.8638209827382
90,55,1.3335280094633435,82,13.902558325271052
17,33,4.629886201271198,81,463.0349171346344
44,82,2.4103734133836285,57,227.2201896634159
44,44,0.8916753316444639,68,281.15629205421635
42,45,4.170868895769264,87,134.89230196829232
14,90,2.1807935736727444,52,373.8401080918065
50,15,2.8692463736920146,54,47.55154517287192
37,27,1.0053695498504862,62,437.5915432479493
16,5,0.5116280668024207,96,415.77724621310796
82,50,3.3709334260698394,95,115.86945695993553
81,25,2.818288266501792,80,406.56895515977857
21,94,3.1709235610541624,65,395.3152892001259
43,40,4.071847326712323,99,319.786132899435
42,58,3.4097266104028705,81,193.0248866808469
57,91,1.2864804927231972,71,143.03438954911525
32,61,2.123476335997699,78,123.57395924178151
71,5,4.576509971544922,71,166.1183917541675
97,67,3.964751151132555,92,452.74363728193987
46,58,3.0048667607152275,52,48.043980234502826
53,59,1.6504024901417254,59,416.1469253639497
95,44,1.8592722582565777,91,180.95613677049354
44,19,3.7938113041353554,70,265.58370404556547
74,25,4.330284173837469,65,399.2979604877604
56,51,3.5214110128877647,61,443.34450804125595
87,77,4.142884890957988,51,178.94289583559703
12,57,3.949952608401827,90,236.30330582480406
10,13,1.1736678558063098,73,213.11287176022822
14,78,2.4077516581098592,84,16.493006416916167
99,56,1.1884271037285319,79,155.01201554074174
23,61,1.5585601316089317,79,235.0027245289553
36,30,4.411668310929736,96,211.43586835141548
18,45,2.6280138453493196,84,363.7453214826829
88,39,2.909111458291974,68,198.5537724383406
24,67,1.3030068435249746,99,249.79445999562842
99,29,1.905223037219582,57,220.50821014485805
51,94,1.5361077579254148,75,372.9068129582416
86,79,1.4278377403329188,98,432.85647550361165
60,42,3.3708235699218654,89,270.6256487136819
72,6,1.6559773144057166,56,396.82177515564365
61,11,3.344069687091883,79,155.4254741897268
13,86,0.7630457634884926,56,275.27110897706166
32,38,1.1379847708719584,52,179.1626772982865
24,21,1.7354311430005642,50,212.95845353019683
52,47,3.1867111260306125,85,368.8827937582076
38,63,3.541285602893192,74,442.0146163430292
45,55,2.492226350507872,86,69.53274163300506
22,58,2.5060591155975303,50,320.9732356788164
41,28,3.7603258312937813,64,295.2504657131213
80,29,0.571194912945121,86,68.02336919620663
68,75,2.0349051101339923,62,113.82822191565344
95,56,4.184181757036548,89,162.39122241901333
37,74,3.214487345960175,57,91.79622470057572
75,92,2.0175220973993917,54,129.42744643692748
51,37,4.574861565483532,58,141.12439144223669
54,53,3.9768022735222215,50,174.48017818913922
71,33,1.6920295125653004,85,377.2013218725679
66,67,3.403804268865726,84,290.23697988679436
15,26,3.180878276850305,51,493.2608692561867
37,30,2.305345613175422,89,213.2205552140608
37,32,2.1513023564216027,72,379.39388618009326
53,89,2.046022136490668,58,437.01952647450156
93,53,3.2772010252804105,83,342.69946158864053
39,75,2.490844714163013,95,211.81372280457305
71,85,4.243384009631399,63,379.26136906541893
84,88,3.5132117726028285,53,109.79689750861559
98,53,0.8146922256924536,79,170.5005609382649
71,24,3.380757007226747,80,277.8757749986515
10,90,1.7201634642508317,87,291.9505997702127
36,67,3.167653962440402,60,20.849322981588436
71,65,3.5605936899655313,84,473.1059524904443
86,53,1.5387313511930543,57,351.3473628965211
12,75,2.5558639019616587,52,252.8948376136266
79,5,1.356461882685805,63,467.2323448600711
81,17,0.7355249410392874,62,225.15682697290595
36,91,2.203143905686411,94,490.4134294324822
18,55,2.133249223306964,81,261.0195310493077
71,60,4.979662208169157,83,66.00002729900993
46,87,2.50858558038939,94,384.7524765050459
60,66,2.0010629726249016,68,342.6598852881419
53,36,3.112137530225036,87,388.7634934397375
33,34,0.8994532734849581,65,476.2065940755837
88,33,4.827495811796659,51,390.4797582989989
68,53,3.357320205159649,89,309.55493508615695
41,49,3.896770189733815,66,430.081362156812
97,34,1.267150721782629,83,339.89075528372047
61,20,2.3426503385234176,91,209.9783378447023
71,44,2.402101010282853,65,443.9536844784689
67,23,4.198128997554891,87,118.7312257843427
61,22,0.5055650589173425,51,360.17422470527487
21,5,1.853838987589648,51,441.9660929209709
48,82,4.915563684549367,75,368.34509465461514
11,51,2.6369894457779837,62,351.6649553363899
12,70,2.2213682610980374,96,378.79276409519963
65,42,1.0392305090794085,80,237.87707166731573
90,55,4.88374082882607,83,438.3436342569427
68,67,0.5901186016662101,88,109.68387281668468
11,8,3.817311012532594,52,72.41934384016625
11,5,3.958699121548288,57,149.89930225807066
63,12,1.5964552222873998,72,270.4729244197467
96,33,3.5220129962586677,63,260.17527975057567
10,59,0.9181811497072547,76,412.0933912615275
28,7,1.6567126989443595,78,208.23864163796853
11,36,4.045558947315192,88,247.32876888283923
62,14,4.391087864150931,88,16.55016479710386
53,78,3.238188856969061,50,210.77222585704016
99,87,2.7807729431921717,66,327.40937414566764
41,38,1.2168680927854114,90,17.59908200703017
79,91,0.7839906488561758,79,147.63216294125945
41,59,1.0294206281310139,62,111.89861605180107
77,36,1.5231078504324445,70,30.57286016569823
64,54,2.0375352585361437,68,244.83744405812337
84,11,2.2140928647994427,68,99.04441368179668
65,12,2.058447958650516,74,374.10995441937627
26,69,1.5757489948876953,71,425.48466304404076
47,61,2.793759110382642,80,277.33673950788244
33,71,4.213787487048036,66,491.0365978353594
78,92,1.7586659231216566,72,230.73450002059172
79,91,4.740741585960049,81,261.55042301020865
95,63,4.430014977757315,59,494.71669943929754
20,76,1.2279389510844934,59,123.45873362287392
25,58,4.038241805406925,85,471.8475104416836
82,71,3.08564322042995,57,30.99040200836549
68,55,3.0495891297713835,69,228.72957622896544
79,12,2.259692433761785,81,44.30172094520223
89,38,2.7551884963190436,99,367.32502402768506
12,39,2.2873044984314497,63,308.1203785812087
29,92,2.9287967844197427,99,356.25078909912224
68,82,3.3257752374768614,77,193.49539598432833
45,36,3.5343671288407177,95,191.04614767537635
28,50,2.8961653665174176,73,32.206446690838355
99,20,3.7463993029792926,64,181.47302036952348
76,72,1.135751221739776,71,465.35131710840915
28,41,1.4539212090600735,79,195.82100321842
29,58,4.184307518334215,53,417.3701760487653
80,89,1.9513759003088684,62,422.7394973274677
61,18,0.6030222123925411,72,192.88816662582457
42,59,1.1920601735061398,57,319.6744533941326
49,52,1.5062649552334006,67,56.73208511379873
48,86,4.807952995525643,61,60.80250455979548
91,11,3.0786864301888217,80,33.84225519423953
10,78,4.697288332143147,63,294.6973957538036
20,11,3.0882350772348124,83,218.77477903678755
66,37,2.6570949806203332,67,278.53585476547767
98,27,1.911774610373432,83,265.32586334911
59,89,3.2286692499501903,60,181.59946563445783
32,23,1.1263911107788842,90,341.9619732635017
40,23,4.542177322817177,61,381.6659216490314
51,40,4.231995823135777,98,17.1678468500611
16,33,1.9288915154453168,64,111.54872688675037
25,64,4.787588874205825,80,359.48557536083507
99,86,4.213403453370057,98,199.44388459057876
69,6,3.4983809862576787,78,334.617134001388
11,5,1.0479286000637367,75,180.01170326993363
10,51,2.6520531037163253,67,201.47002464152217
57,73,2.777483996810379,81,87.7526481079456
21,24,1.5464811126442104,71,136.53319963641843
78,15,0.8598442746168588,87,306.6517611787178
46,6,3.9952563371226173,66,222.24992454443154
41,71,1.0491577345597776,72,389.4083146428516
18,91,3.174308377527986,73,427.76662791978794
28,16,4.714021282476472,99,275.40674492621235
57,24,4.442473366691191,57,381.55097310746896
89,9,1.749886806871675,90,160.38321146533931
12,41,4.3315188689806945,55,213.33589554603833
29,42,0.5014962775422023,54,359.2610613462472
33,13,0.5795951432596576,93,199.24387648034502
63,57,3.2114892372928923,78,298.3674182279045
42,48,2.1415919861503827,77,100.83266175043063
33,90,2.239073785216162,60,303.887944335544
84,28,3.0399849080549712,50,432.14171654117786
81,85,1.3630210501633726,92,435.63342351347853
45,78,1.4528990779946525,68,364.92875910147444
47,34,2.6807071415848913,58,375.4191557473018
93,63,3.8941409495473835,76,283.38444812384336
98,91,3.2877398813341445,83,296.4873641812541
34,85,1.838097717065775,93,75.48878489115381
27,85,2.4365172987901453,53,227.49100232643755
91,18,1.2679914134749928,85,230.88037910431828
75,13,0.8358341645168677,67,479.6639394771927
63,44,4.022132183348671,64,221.23256268541184
44,70,1.6942433413468756,62,279.17789600235125
89,29,1.2999487453306169,68,271.2931856467602
70,77,3.612281250061937,98,322.0132413517203
50,26,3.2812325342923367,55,376.63408735262897
42,8,3.3493533170605883,97,120.27051932372734
77,30,1.5300257218097613,61,269.0749653582335
42,62,1.5469049235320644,86,414.6996765848549
23,33,1.4936118340353761,66,236.92620978038062
30,91,1.2818866804803253,72,146.44419772305076
57,41,3.4507565265274533,75,330.80744692458654
29,79,4.316071483622306,78,413.64602394157026
17,74,3.7594286135449755,82,40.93874353442175
16,22,4.064421351922444,76,390.6273368695413
76,89,2.321592930883399,74,412.6074871512679
26,46,3.4433410791739916,59,236.14623451841734
42,45,2.0940630820014854,96,491.81977184104903
57,42,2.86477079885888,72,395.4870869465815
85,38,2.6673568094068805,70,389.0946567988762
68,21,1.2959921531473448,70,376.4409014619152
95,41,2.2418544215103386,92,83.79797057695426
31,29,4.8372002396705795,62,116.4431343619753
39,80,1.6186111597172395,86,237.35516441756826
47,91,1.1021168132576993,82,139.3621314801383
60,90,2.383612797307709,73,213.46807644367982
63,89,4.056519811370666,93,445.3474138622311
17,31,3.119667034009875,60,413.9201770208419
36,61,3.5643867225721007,66,318.7195404551913
36,35,1.3536268167860475,53,430.47899318304076
30,10,3.285266868534747,96,394.04847061845214
39,44,1.955751777101632,74,220.20261660203633
37,16,4.254365146796454,79,108.52192450447312
73,57,3.3318446270483126,58,261.9585096045762
78,75,1.3948532499888315,70,370.7521524389896
70,14,0.7907750592983877,69,223.84560337750057
57,49,0.6918494417916473,68,336.71823579410966
28,21,2.1713385544256334,68,56.220438882611376
13,30,1.6963301149444105,61,376.52232082198765
44,89,3.407405555581286,86,408.2296737476004
73,66,2.747002257403782,91,356.35054933246516
58,50,1.6970867510242131,66,483.9591578879191
26,68,1.1715700007757925,86,415.0595081557138
53,6,1.0723989320935232,97,452.51592665950375
39,58,4.39097176463188,88,467.44983089424755
55,69,1.5956508578219026,77,402.6605160181662
15,55,3.4326979155993573,90,340.38683258318457
46,57,4.148086675938198,84,12.80210486678675
33,40,3.2633659003313125,96,238.2546190793311
55,30,4.368043542411256,97,289.8695263249569
62,33,2.2657717468781353,67,158.9748334995198
69,25,4.802999857920267,63,165.8711789827013
72,15,1.0991525188014362,84,480.9681136979809
94,44,0.9596728834589214,93,446.9383239493455
41,15,3.464114657933496,90,426.09771269583507
96,40,4.742740136359678,56,208.9457828359942
42,63,4.139975577363476,90,16.712289700368128
76,43,0.8438758674712314,62,49.308900763299896
27,58,1.7571547127062237,67,162.9762204266258
34,59,4.686434981770207,86,17.71402736788172
63,28,1.6387629476035306,62,18.403393138447075
67,26,4.015266907041137,85,459.13561780478136
76,73,4.213094881679167,80,356.0176660383365
55,60,2.7295344655744183,51,161.3884351333948
33,37,2.23857009431742,65,74.99584302446705
41,40,2.525559945888918,58,260.7015017685878
56,24,1.5213411246441386,58,12.619618818638584
95,87,4.502259122579799,87,469.8227344904906
32,85,2.5277884552839107,60,213.25940850058413
75,66,4.471067482052449,71,207.14412806629306
36,77,0.9756206595782334,82,201.39086771507328
11,30,4.947238719500591,85,43.97088189000473
99,70,2.494728893496282,94,322.777897497995
26,77,0.7152386917734745,72,369.17177361789317
42,77,0.6710983170685472,94,341.3014448182622
18,44,3.8579326586682736,94,77.83339173140321
52,21,3.4656599039165634,83,293.63168233744034
57,5,4.109587511574144,58,289.04739724440435
48,93,0.9741539027876268,73,435.5212860912772
51,65,0.6600689016599676,57,195.77255260406702
35,47,2.788606802514103,56,192.02811239312277
59,46,2.244178541672463,85,313.07825877191095
34,29,2.578761215019301,67,320.2056002147614
33,43,4.962147839916233,52,239.94976138963727
22,39,4.8683748095180155,77,227.09908754190633
69,7,4.740419253529367,55,252.1323586125625
16,48,4.027292045454532,93,431.91219675662285
66,55,2.096786121156007,93,235.9717816144159
45,16,2.354589186182472,70,470.566578065213
54,23,2.9732721967351603,77,256.9618441621998
29,48,4.23740505382178,89,475.1083396586368
74,63,0.8092077463322049,50,418.0876319158471
17,53,2.4093359864819965,85,187.59134808175625
25,65,0.8717794855667091,70,433.1842964353419
23,21,2.815959139580802,92,63.93100925854646
85,78,4.5450537080280595,84,463.2731159180771
96,61,4.0211821605377205,62,319.5053223906169
24,59,1.525290878943995,98,36.65146677593248
75,51,4.891958823194566,59,325.68579458889764
41,16,3.503076791208928,93,487.3813505309305
96,66,0.5469246472883138,96,44.202320761168174
72,84,1.6493606810834878,59,281.7969777922423
95,92,1.6732098496396244,95,376.4192313820925
60,87,0.8116443782863697,62,407.02670748277035
34,12,4.819219331341681,86,212.77545800718997
67,25,2.6521488255916568,87,110.04161399243907
72,85,4.531165688173469,73,30.747716598468077
71,91,1.9499697655008275,51,294.0658169776401
31,84,1.063551066947722,71,231.92642443112928
67,74,2.6345124945779625,66,474.8847536233584
67,76,1.0128048562144272,85,39.6964047803058
95,29,2.6870697633989296,63,345.8437182885428
58,86,4.641337315487335,59,22.23344883882801
61,93,2.843456638253957,84,94.00274658816593
51,16,3.274248771027876,74,232.2537099621887
79,19,1.2048729663821374,52,232.88749697340543
24,63,0.6968103164598627,96,345.9932660374855
63,30,0.9986358298091317,87,456.00438708520073
69,30,3.1933920905796453,66,323.1257578683112
17,51,0.927552645465371,61,477.23219794723934
62,36,2.1919680047359016,73,441.99166354021884
69,14,2.975413732061702,78,296.4048998100872
14,20,2.2489375938343117,92,418.55805595022537
77,75,1.2365771065938567,74,324.86302905858065
15,21,1.7320608838134794,85,48.4933371526263
56,27,4.677428897818596,75,372.8767143971599
64,30,3.541920240138599,87,56.505136220999646
49,89,2.7322152740594894,50,301.10056247915907
61,90,0.5572170049410208,69,354.2937008705321
25,11,4.9658693022026155,77,42.59852802331907
22,18,3.5215472070258946,65,123.08938042400057
39,83,1.9261511480522522,96,458.67939380820843
28,11,4.456708969990272,66,311.9941011941192
26,13,1.6629422913131815,89,130.68014921716048
72,52,2.948074606322382,77,348.4330878625232
28,76,3.362318436784213,61,302.4204457812279
67,63,1.494785171541778,76,255.7720929597947
64,91,4.902787754602682,91,488.331617744161
99,86,3.866863576905489,96,344.89235092967937
99,43,3.0101595147998146,79,193.9661437372772
71,22,1.312675691788854,90,402.0359817176653
32,63,0.7423619314911176,83,443.445813531382
18,21,1.9402692463444255,86,71.3580741632474
21,18,3.8893430116103125,55,108.27095914418058
10,35,1.7119908423591128,56,115.95123447261206
67,28,2.9280029922297732,81,348.6937865994048
10,64,3.7757622952883443,81,305.4893819761088
43,49,0.9857467159090896,74,313.3058667023082
57,7,3.5838410725214302,82,470.9789168478555
98,41,0.9134189946952012,56,390.1966510755799
10,47,4.843083839571484,61,72.68909301077376
25,44,2.697773585292228,65,180.2784703883387
70,94,1.1780424846944482,65,223.34288662611044
73,59,2.0407263621509593,92,204.0211784863264
72,91,2.3603740218286764,85,337.9612184893208
78,43,3.911832549844418,62,447.02762059571563
31,19,3.8454070373447418,56,159.96521712616612
76,8,3.2537322740179895,85,280.41979684638096
85,90,0.9766882065132183,96,396.81061673765697
35,29,1.1820621721445312,58,213.94684883422119
25,17,0.9219061429050048,81,92.37788291565496
60,86,3.0972775247939754,60,242.72597297923664
95,37,4.447122986801318,57,37.05903516408395
66,20,2.452102305146473,82,471.76789246111565
38,46,1.2238167828098578,72,46.66239054553679
87,70,3.0111904631703514,74,224.8437904727833
78,59,4.152884975895694,57,269.6418179333778
56,46,3.837704276808185,94,492.79887782076986
71,38,4.466528508537596,71,91.35069358500178
78,34,1.7505594376199052,53,66.0714441200557
85,17,1.372792402704987,89,14.266012060646354
25,17,4.459174186738725,52,86.23000406595813
99,22,3.459021407501104,78,111.56375974315714
99,36,1.8991801850339938,90,318.98466137571523
57,43,3.8405662275762915,78,117.6563272917862
94,50,4.168032730161656,83,20.055199217369353
48,33,3.2674020815350957,83,415.04298929621945
42,66,3.595478494459618,77,189.1418934919437
32,66,2.1886695699919985,62,183.31137642455963
19,61,2.924130503043676,64,158.21472429228402
78,20,2.85871626826773,72,487.93290580174624
43,60,4.316215060088473,93,93.35655448154793
61,14,4.279837911269821,75,450.1366513370852
19,34,4.247062112061695,53,390.6336327485451
28,29,0.5496422641810961,75,47.47517819466341
67,88,3.872954680109997,89,493.49725973541587
10,9,3.914043755499522,58,142.96932213411517
78,69,3.552704702848138,54,58.305634240982045
13,53,3.9031909605115365,81,416.3639747216221
25,7,4.288866671735189,69,356.27101150207295
33,49,2.6164357434580356,99,312.4372148801714
89,18,2.759225960698012,60,86.43062321247724
11,34,1.061213256101257,64,244.46309696542133
41,72,2.2341914737131283,81,392.47245317473477
93,22,3.3951433096030295,77,158.7757296904817
33,66,4.011798992662735,71,162.72801597237032
21,41,1.4774409396104475,90,11.539043963579838
59,29,1.1202030462165593,66,95.37926680623598
44,52,3.483689020252215,75,438.9487563096988
42,69,0.5084594758620979,93,226.45578090247648
42,57,1.3026766293829843,56,492.27490462487265
70,83,0.6308212115477918,91,203.89690215115834
60,77,1.2509830303469192,75,360.4413628423182
52,19,1.3159367596647735,74,148.1403310233173
21,53,2.244531176376774,59,188.26672415905742
76,92,2.3104720610895018,94,103.45573391953837
74,72,4.4341811177460695,68,180.06056056470354
42,16,2.7954937062447134,60,278.1463850061151
49,63,3.755321445255288,62,495.9687116798322
83,41,0.9686181106412934,57,335.45883940517496
52,65,1.5144743995866223,89,107.63051766007389
53,47,3.6632454844040456,53,32.031106379860056
38,74,0.7376178221083765,96,71.9146758441102
22,43,2.689689480096889,80,285.65204862379323
21,60,3.1971603454832023,77,384.9285611202155
55,67,3.2096553982361646,60,470.805411577366
11,50,0.6031976507061891,92,17.753354278442202
44,92,1.9494860190313348,50,266.1524693653162
96,15,3.3642079297211933,98,240.7250045493566
90,66,1.1704988126715956,96,331.46696076809496
99,81,3.6293704174762396,87,284.19363868801753
17,29,3.8566634396615354,73,346.64918378541546
35,75,4.918861357007653,96,332.4604665271033
83,56,1.4442889768538425,80,67.33574518039364
99,8,4.213088004497518,90,401.8617776731726
43,63,2.8413345961339433,95,70.38396210099917
16,76,2.1805816826487803,99,352.2800063524772
77,24,1.0506954079633006,75,213.91123014389728
67,67,3.809775229193919,98,261.78685994253294
84,58,1.5613591961465918,99,452.6160270440982
38,78,2.171399008428706,54,446.0430259720084
45,61,0.781440021038158,69,410.74958977096446
98,94,4.106151121187835,90,259.9727064235984
30,45,3.949648357872395,60,370.7575069655782
45,7,3.801271235190406,82,261.3195572042166
19,10,1.84749579721349,99,436.10698041264095
82,9,1.2806603341968077,87,207.36015828412096
33,9,3.3689896901160337,76,485.41531876328963
73,58,2.7327487285094874,83,466.83815153215
58,51,1.3021361010708872,64,373.3852835313749
45,91,3.5866007197243865,81,146.91378324627527
91,53,4.960068943195867,70,74.51025850869661
33,13,3.8624881448391695,95,428.80469054566674
32,24,3.829938740085253,54,90.99812020760102
71,65,4.776407388187662,55,428.5877866086945
46,39,1.41321365408706,87,250.47485328905663
21,54,3.0449748421464817,71,209.21282406597106
64,86,4.9084102176524755,67,452.56348162887025
22,66,1.2438234993657855,63,305.8869814447362
32,21,3.6511338175003445,59,292.5408634935617
98,92,3.1361456568735586,95,283.7953128659548
39,7,3.1391559148491814,62,191.8730628495704
26,36,3.6395178238403383,80,394.96512072927237
71,17,4.683276152940579,79,133.87123756772877
93,93,4.021618729331021,52,470.05853042022477
98,77,0.752612465372945,79,448.0527504730108
95,72,4.3372760894407,55,175.3653595807001
22,18,1.5149359846657968,78,367.4372472175152
68,15,2.196113741313674,57,290.8793652802998
28,60,2.57779766125572,93,175.44815797962497
58,71,2.6640770033888135,94,494.3756075177689
21,33,2.4583117966491055,92,22.366299465649462
70,13,4.71808982397139,93,133.79655500443045
28,71,3.6770855344881106,82,264.8362899444637
85,29,3.3402679068051784,66,265.7569717044963
18,80,0.7242891250232371,97,298.5772067233264
80,46,4.567609986171686,60,378.32132429123044
37,13,4.592255864037783,62,315.50413695445525
87,83,4.01095878543546,99,304.1379156587381
61,44,0.5316314171612861,60,36.22208682739121
92,29,0.7577611298493051,80,194.49984101675616
25,9,1.513506660208204,77,123.70731245356644
78,15,1.09107233665208,93,140.03135468496797
21,63,2.2947621336667825,55,281.62536242676896
34,92,4.651803761395054,90,107.75760431550813
61,83,2.6242719538864923,65,154.0350594982798
94,42,0.5603118189447452,53,126.17150717349665
62,76,1.772355603104429,84,474.7664421769154
32,9,0.7006770876783269,97,472.88620876383663
25,52,0.6632943017607598,75,308.8713637120653
66,94,1.740739338929985,61,463.01600967863095
48,22,1.7402555240552544,60,395.04819627950286
62,74,4.042069711707218,86,299.0744625728863
51,41,4.886755937515003,74,13.153253633429898
67,64,2.170431922504992,67,388.53298017890796
48,52,2.4299909548746736,68,354.21928737834975
23,81,4.301552463287097,72,311.47429010838283
14,32,1.7066255904298102,87,382.60791272441116
44,73,1.2037181198155158,67,261.3318607396352
96,81,4.3389033053164265,75,355.0008029474561
84,85,0.7092526389802947,55,468.2343224959817
27,44,3.2886474808973705,53,194.14445776458228
85,49,3.0289678136006306,93,356.97969910130644
18,66,2.0566420137576245,78,243.08703082536977
83,62,1.9183528449381155,83,340.45582938885093
67,71,3.973359767817296,66,383.8177344216384
26,60,0.8889107484314591,92,32.27172521354002
16,44,1.5655293919012343,92,326.83421753484436
55,44,3.796019293271404,65,121.10318035940284
22,81,2.967442626768909,51,338.3159435257077
49,37,1.0759469384011386,83,239.4817911075686
51,10,4.469610264269271,57,389.04084351379475
18,92,2.270515309536162,62,70.46639945074224
59,23,4.225407688949778,91,316.8979523115356
36,84,4.04470856987469,57,146.45065717450063
75,44,3.309914509122776,79,427.9611777119898
14,63,2.725165090827918,81,464.90791776179066
38,63,4.907978781717906,85,498.23516390273716
46,52,1.1523428257091766,96,400.0436271893688
47,45,3.7632007739800164,79,379.32969450972223
92,17,1.3603581565915506,50,115.59537184510002
17,49,2.022183973995568,92,174.6434589051533
74,93,1.8891443451793786,88,238.18444546351697
95,57,4.761661944824254,66,388.95671341330234
26,46,4.853102800047238,69,458.33327388820464
80,67,1.3235694990562723,73,102.67815901126247
98,31,0.5991582213387688,99,461.96006748835043
54,42,3.740036178484009,71,350.85607965348845
13,64,2.3809547024171795,78,309.27765803566894
45,11,0.8997811028940397,71,107.92222292815036
79,9,3.5768934750966914,93,37.207266076483776
40,49,2.9529748771731485,58,288.54780026889057
28,62,4.9123256990049775,86,329.2426848311573
70,35,1.5233427313762051,59,113.28291018379723
63,27,2.317900443469467,85,282.66354085447364
48,46,2.941456115279403,86,429.68176735366103
83,14,4.062649948040082,77,419.1823132729598
99,36,2.969773955240264,77,464.4040384872856
28,57,3.2580507238787715,91,189.2840466828714
